"tstamp","typ","outpath","u_ld_0","u_ld_1","emin","emax","alphamin","alphamax","betamin","betamax","size_lc","errval","spot_radius","midlat","latwidth","n_spots_min","n_spots_max","decomposeed","n_lcs"
2022_03_28_22_57,validate,results/2022_03_28_22_57_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_23_21,train,results/2022_03_28_23_21_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2.5,5,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_23_21,validate,results/2022_03_28_23_21_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2.5,5,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_23_49,train,results/2022_03_28_23_49_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1.25,2.5,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_23_49,validate,results/2022_03_28_23_49_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1.25,2.5,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_29_09_43,train,results/2022_03_29_09_43_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,20,40,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_29_09_43,validate,results/2022_03_29_09_43_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,20,40,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_29_10_49,train,results/2022_03_29_10_49_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_29_10_49,validate,results/2022_03_29_10_49_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_30_19_47,train,results/2022_03_30_19_47_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,40,60,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_30_19_47,validate,results/2022_03_30_19_47_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,40,60,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_30_20_25,train,results/2022_03_30_20_25_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,17,28,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_30_20_25,validate,results/2022_03_30_20_25_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,17,28,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_30_20_44,train,results/2022_03_30_20_44_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,8,15,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_30_20_44,validate,results/2022_03_30_20_44_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,8,15,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_30_21_04,train,results/2022_03_30_21_04_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,4,7,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_30_21_04,validate,results/2022_03_30_21_04_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,4,7,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_30_21_20,train,results/2022_03_30_21_20_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,20,30,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_30_21_20,validate,results/2022_03_30_21_20_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,20,30,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_30_21_41,train,results/2022_03_30_21_41_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,9,14,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_30_21_41,validate,results/2022_03_30_21_41_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,9,14,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_30_21_41,train,results/2022_03_30_21_41_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,9,14,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_30_21_41,validate,results/2022_03_30_21_41_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,9,14,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_30_22_00,train,results/2022_03_30_22_00_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,4,8,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_30_22_00,validate,results/2022_03_30_22_00_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,4,8,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_08_09,train,results/2022_03_31_08_09_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,4,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_08_09,validate,results/2022_03_31_08_09_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,4,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_08_27,train,results/2022_03_31_08_27_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,4,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_08_27,validate,results/2022_03_31_08_27_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,4,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_08_48,train,results/2022_03_31_08_48_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,4,8,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_08_48,validate,results/2022_03_31_08_48_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,4,8,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_09_24,train,results/2022_03_31_09_24_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,4,8,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_09_24,validate,results/2022_03_31_09_24_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,4,8,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_09_27,train,results/2022_03_31_09_27_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,9,14,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_09_27,validate,results/2022_03_31_09_27_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,9,14,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_09_59,train,results/2022_03_31_09_59_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,20,30,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_09_59,validate,results/2022_03_31_09_59_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,20,30,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_10_22,train,results/2022_03_31_10_22_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,15,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_10_22,validate,results/2022_03_31_10_22_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,15,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_10_48,train,results/2022_03_31_10_48_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,4,7,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_10_48,validate,results/2022_03_31_10_48_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,4,7,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_11_23,train,results/2022_03_31_11_23_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,4,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_11_23,validate,results/2022_03_31_11_23_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,4,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_11_52,train,results/2022_03_31_11_52_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,2,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_11_52,validate,results/2022_03_31_11_52_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,2,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_13_23,train,results/2022_03_31_13_23_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,15,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_13_23,validate,results/2022_03_31_13_23_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,15,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_14_13,train,results/2022_03_31_14_13_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,4,7,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_14_13,validate,results/2022_03_31_14_13_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,4,7,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_14_41,train,results/2022_03_31_14_41_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,4,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_14_41,validate,results/2022_03_31_14_41_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,4,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_15_04,train,results/2022_03_31_15_04_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,2,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_15_04,validate,results/2022_03_31_15_04_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,2,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_15_25,train,results/2022_03_31_15_25_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,4,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_15_25,validate,results/2022_03_31_15_25_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,4,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_17_08,train,results/2022_03_31_17_08_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,2,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_17_08,validate,results/2022_03_31_17_08_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,2,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_17_29,train,results/2022_03_31_17_29_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,2,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_17_29,validate,results/2022_03_31_17_29_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,2,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_17_47,train,results/2022_03_31_17_47_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,15,25,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_17_47,validate,results/2022_03_31_17_47_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,15,25,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_18_16,train,results/2022_03_31_18_16_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,1,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_18_16,validate,results/2022_03_31_18_16_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,1,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_18_50,train,results/2022_03_31_18_50_flares_train.csv,0.5079,0.2239,0.1,1000000.0,2.5,2.5,10,20,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_18_50,validate,results/2022_03_31_18_50_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,2.5,2.5,10,20,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_31_19_41,train,results/2022_03_31_19_41_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,1.5,10,20,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_31_19_41,validate,results/2022_03_31_19_41_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,1.5,10,20,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
